"text","text","best_surface2_id"
"agent","travel","1241"
"agent","jame bond","29217"
"agent","spy","137244"
"agent","secret","160162"
"agent","fbus","413755"
"agent","secret person","426366"
"agent","travel person","472319"
"agent","matrix enemy","498467"
"agent","matrix villain","498468"
"agent","matrix","504989"
"agility","dexterity","500490"
"agility","age lie","508424"
"ago","time","2869"
"ago","past","22852"
"ago","long","42865"
"ago","story tell","185820"
"ago","galaxy","207534"
"ago","before","403815"
"ago","long long","405114"
"ago","long time","419639"
"ago","past event","423699"
"ago","long past","454939"
"ago","galaxy far","498024"
"ago","seven year","504797"
"ago","seven","508461"
"agony","severe pain","90743"
"agony","torture","201014"
"agony","and the","407435"
"agree","yes","6073"
"agree","get along","206742"
"agree","indeed","406672"
"agree","concur","440845"
"agree","consensus","440932"
"agree","mind","454108"
"agree","same opinion","465759"
"aid","band","1468"
"aid","help","2758"
"aid","kit","498325"
"aim","target","293965"
"aim","gun","475248"
"air","nothing","479"
"air","tree","2709"
"air","transparent","3042"
"air","element","6233"
"air","oxygen","9945"
"air","breathe","10674"
"air","gas","16143"
"air","atmosphere","24379"
"air","clear","27398"
"air","breath","48401"
"air","cant see","410159"
"air","wind","419310"
"air","nitrogen oxygen","421910"
"air","oxygen nitrogen","423460"
"air","breathe stuff","438159"
"air","breeze","453768"
"air","everywhere","498288"
"air","invisible","498291"
"air","clear nothing","508801"
"airship","blimp","479928"
"aisle","long","42865"
"aisle","down","404533"
"alchemist","gold maker","448067"
"alchemist","change gold","508774"
"alcohol","beer","8358"
"alcohol","general","274876"
"ale","beer","8358"
"alga","green","3053"
"alga","plant","17739"
"alga","fungus","36184"
"alga","moss","60453"
"alga","fuzz","171689"
"alga","green scum","448564"
"alga","fuzzy scum","498021"
"alga","simple plant","504832"
"algebra","math","22243"
"algebra","geometry","41481"
"algebra","equation","90171"
"alias","secret","89995"
"alias","code name","440396"
"alien","bug","272618"
"alien","another","498001"
"alien","spaceman","499237"
"alimony","divorce","58574"
"alimony","divorce payment","442775"
"alkali","chemistry","96951"
"allegory","simile","454329"
"alley","cat","10919"
"alligator","crocodile","290382"
"alligator","crock","407090"
"allow","prevent","263907"
"allow","permission","405465"
"allow","forbid","405858"
"allow","let happen","418885"
"allow","let","429875"
"allow","give permission","447876"
"allow","let permit","453483"
"allow","permit","462280"
"ally","friend","99561"
"ally","ale lie","407017"
"almost","near","166316"
"almost","quite","454231"
"almost","nearly","457988"
"almost","near completion","498579"
"alone","lonely","12275"
"alone","sad","17317"
"alone","loneliness","32508"
"alone","be","35897"
"alone","single","55257"
"alone","person","123844"
"alone","loner","419571"
"alone","solo","427739"
"alone","own","432657"
"alone","yourself","438736"
"alone","lonely single","454888"
"alone","nothing around","498620"
"altitude","airplane","8078"
"aluminium","silver","15898"
"aluminium","silver metal","426952"
"aluminium","tin","501990"
"aluminum","metal","7446"
"aluminum","tin","454432"
"always","nothing","479"
"always","usually","536"
"always","sometimes","553"
"always","time","2869"
"always","forever","33746"
"always","continue","55083"
"always","infinity","83635"
"always","eternity","110667"
"always","frequency","166708"
"always","permanence","176090"
"always","anyway","182670"
"always","way","215103"
"always","hallway","295802"
"always","never","403868"
"always","every time","404589"
"always","much than","421205"
"always","ell","423044"
"always","recur","425300"
"always","often","431129"
"always","continuously","441007"
"always","small pay","499158"
"always","sound airway","499215"
"always","describe time","503769"
"always","evermore","503876"
"always","indefinite","504176"
"amazement","surprise","45984"
"amazement","mean","405182"
"ambassador","embassy","413148"
"ambition","career","125756"
"ambulance","sick person","8822"
"ambulance","medical","420632"
"amendment","constitution ten","503693"
"amethyst","purple stone","424991"
"ammonia","water","1843"
"amount","money","1416"
"amount","quantity","51039"
"amount","total","52167"
"amount","number","71447"
"amount","cost","269275"
"amount","price","404410"
"amount","how much","404924"
"amour","french","18052"
"amplifier","big box","21428"
"amplifier","stereo unit","499279"
"anchor","boat","2735"
"anchor","hook","220373"
"anchor","chain","304108"
"anchor","boat stay","503510"
"anchor","boat hook","508651"
"ancient","history","23342"
"ancient","rome","26230"
"ancient","antique","49304"
"ancient","egypt","82231"
"ancient","adjective","275242"
"ancient","antiquity","407598"
"ancient","oldness","422867"
"ancient","ruin","425938"
"ancient","really old","464412"
"ancient","prehistoric","491396"
"ancient","rome greece","504731"
"angel","heaven","2557"
"angel","bible","59616"
"anger","upset","71296"
"anger","rage","92255"
"anger","mad","217997"
"anger","negative emotion","477390"
"anger","really mad","498900"
"animal","creature","7492"
"animal","cat","10919"
"animal","forest","11713"
"animal","four leg","12005"
"animal","wild","21249"
"animal","anything","28424"
"animal","fauna","33618"
"animal","cow","34961"
"animal","live","44842"
"animal","zoo","49452"
"animal","claw","49919"
"animal","dog","88844"
"animal","any","271111"
"animal","species","289755"
"animal","kingdom","297708"
"animal","general term","404748"
"animal","cat dog","410360"
"animal","dog cat","412551"
"animal","vegetable mineral","431049"
"animal","horse","454015"
"animal","mammal bird","455768"
"animal","mineral vegetable","456743"
"animal","mouse deer","498546"
"animal","puppet drummer","498857"
"animal","goat bear","504023"
"animal","plant","504597"
"animal","beast","508429"
"animosity","anger","1610"
"animosity","animal moss","508464"
"ankle","food","1506"
"ankle","foot","2225"
"ankle","joint","180109"
"ankle","elbow","404558"
"ankle","above foot","406645"
"ankle","foot leg","414556"
"ankle","leg joint","418779"
"ankle","below knee","436778"
"announcement","plus man","504607"
"answer","question","5572"
"answer","problem","10049"
"answer","phone","18032"
"answer","respond","26545"
"answer","swear","43158"
"answer","response","55256"
"answer","ask","93011"
"answer","game","97134"
"answer","test","103595"
"answer","guess","216362"
"answer","after question","406882"
"answer","sir","407428"
"answer","jeopardy","407572"
"answer","ant sir","407606"
"answer","multiple choice","421411"
"answer","question reply","425055"
"answer","question response","425056"
"answer","solution","429342"
"answer","reply","429950"
"answer","yes no","432548"
"answer","question key","504674"
"answer","test question","504975"
"answer","aunt sore","508507"
"answer","ban sir","508525"
"ant","bug","16625"
"ant","heavy load","504106"
"antagonism","angry","48567"
"anticipation","person","51894"
"anticipation","impatiently wait","504169"
"antique","furniture","6445"
"antique","relic","407596"
"anxiety","panic","2690"
"anxiety","worry","101633"
"apartment","flat","6173"
"apartment","rend home","504706"
"apartment","rental home","504707"
"ape","monkey","95559"
"ape","primate","245641"
"apex","geometry","41481"
"apex","peak","423787"
"apex","zenith","508411"
"apology","say sorry","139399"
"apology","sorry","174513"
"appear","visible","16515"
"appear","magic","45753"
"appear","vanish","171378"
"appear","arrive","175237"
"appear","arrival","274556"
"appear","seem","405642"
"appear","visibility","431186"
"appear","show up","499081"
"appear","become seen","503433"
"appear","seem like","504788"
"appearance","laugh","8425"
"appearance","connect","144027"
"apple","computer","481"
"apple","tree","1511"
"apple","green","3053"
"apple","teacher","4063"
"apple","yellow","4128"
"apple","fruit","5566"
"apple","red","7337"
"apple","ball","7734"
"apple","round","8170"
"apple","pie","15931"
"apple","circle","16863"
"apple","pear","19832"
"apple","three","20862"
"apple","doctor","22095"
"apple","orange","24439"
"apple","cider","29331"
"apple","orchard","35292"
"apple","tomato","44041"
"apple","bible","59616"
"apple","big","63001"
"apple","away","71931"
"apple","newton","180090"
"apple","pelt","229056"
"apple","eve","237350"
"apple","mac","297898"
"apple","isaac newton","307367"
"apple","core","403808"
"apple","adam","406780"
"apple","adam eve","406783"
"apple","ape","407621"
"apple","ape ell","407622"
"apple","eden","412970"
"apple","garden eden","415211"
"apple","granny smith","415784"
"apple","green red","415955"
"apple","macintosh","419933"
"apple","red delicious","425322"
"apple","red fruit","425334"
"apple","red green","425339"
"apple","round red","425861"
"apple","scrabble","426294"
"apple","snow white","427631"
"apple","eve fruit","444240"
"apple","fruit tree","447115"
"apple","mac computer","455298"
"apple","orange fruit","461173"
"apple","red round","464527"
"apple","doctor away","482637"
"apple","round pear","492388"
"apple","green round","498095"
"apple","red ball","498906"
"apple","red pear","498919"
"apple","red sphere","498923"
"apple","fruit pie","503978"
"apple","ape peel","508476"
"apple","ape pull","508478"
"appliance","oven","454160"
"appliance","fridge stove","497997"
"apply","form","26569"
"apply","employment","74039"
"apply","resume","140197"
"apply","new job","242138"
"apply","verb","277069"
"apply","fill out","413989"
"apply","put","425011"
"apply","loan","497981"
"apply","give paper","498053"
"apply","job college","504212"
"apply","application singular","508480"
"appoint","judge","3250"
"appoint","job","49107"
"appoint","assign","68451"
"appoint","selection","410668"
"appoint","give job","447871"
"appoint","assign position","503390"
"appointment","date","453866"
"approach","get near","504007"
"approval","loan","191434"
"approval","ape prove","508477"
"apricot","peach","18438"
"apricot","small peach","467844"
"archery","anarchy","115367"
"archery","sport name","428087"
"area","math","22243"
"area","length width","418834"
"area","square meter","504900"
"arise","wake up","229"
"arise","jesus","984"
"arise","climb","11465"
"arise","go up","11811"
"arise","sunshine","30732"
"arise","awaken","34671"
"arise","awake","38580"
"arise","stand up","44746"
"arise","get up","54091"
"arise","knight","63853"
"arise","rise","127770"
"arise","dead","216587"
"arise","wake","259164"
"arise","risen","425652"
"arise","sun up","428772"
"arise","with an","432052"
"arise","ascension","435387"
"arise","arise","453711"
"arise","knighthood","477138"
"arise","receive knighthood","504693"
"arise","walk dead","505107"
"ark","boat","3309"
"ark","bible","59616"
"ark","noah","422271"
"ark","noah boat","422273"
"ark","bible story","436951"
"ark","big boat","436979"
"arm","throw","2153"
"arm","hand","2624"
"arm","body","24430"
"arm","long","42865"
"arm","anatomy","97211"
"arm","torso","291479"
"arm","elbow","404558"
"arm","upper limb","430855"
"arm","body appendage","437649"
"arm","leg","476164"
"arm","two sausage","499499"
"arm","get twist","504010"
"arm","shoulder connect","504820"
"arm","shoulder","504993"
"armadillo","gray","123537"
"armadillo","hedgehog","280451"
"armadillo","big rat","404226"
"armadillo","armor willow","508488"
"armor","clothe","4148"
"armor","metal","7446"
"armor","knight","63853"
"armor","vest","280526"
"armor","chain mail","410440"
"armor","suit","499306"
"armour","ewe","406216"
"armour","old english","422838"
"army","war","5313"
"army","soldier","21594"
"army","ant","26722"
"army","military","40209"
"army","navy","81716"
"army","fight war","172279"
"army","air force","406963"
"army","many soldier","420367"
"army","marine","454093"
"army","jeep soldier","498306"
"army","ground force","504052"
"army","ground warfare","504053"
"arrival","get somewhere","4782"
"arrival","departure","422364"
"arrival","get","447696"
"arrive","travel","1241"
"arrive","go somewhere","41577"
"arrive","visit","77697"
"arrive","get there","112294"
"arrive","show up","200069"
"arrive","get here","404753"
"arrive","come","411203"
"arrive","depart","412235"
"arrive","destination","412292"
"arrive","departure","422364"
"arrive","airplane time","503323"
"arrow","stick","164664"
"arrow","point","194972"
"arrow","feather","234349"
"arrow","robin hood","321917"
"arrow","spear","329517"
"arrow","indian","403896"
"arrow","bow","409505"
"arrow","sharp tip","426630"
"arrow","bow projectile","437959"
"arrow","shaft head","499054"
"arrow","small spear","499169"
"arrow","bow weapon","503526"
"art","music","569"
"art","entertainment","638"
"art","beauty","751"
"art","culture","1171"
"art","nice","7505"
"art","science","7773"
"art","draw","17068"
"art","color","17291"
"art","pretty","20179"
"art","decoration","21329"
"art","statue","21512"
"art","skill","21985"
"art","anything","28424"
"art","craft","37416"
"art","paint","38751"
"art","monet","38983"
"art","painter","59562"
"art","sculpture","60371"
"art","fine","61948"
"art","pop","74102"
"art","painting","78194"
"art","expression","115850"
"art","canvas","153810"
"art","modern","174790"
"art","picture","177098"
"art","collage","201633"
"art","museum","285172"
"art","gallery","402961"
"art","general term","404748"
"art","draw paint","412679"
"art","museum stuff","421455"
"art","paint sculpture","423525"
"art","painting music","423531"
"art","painting sculpture","423533"
"art","picasso","424077"
"art","paint photo","461670"
"art","sculpture paint","466173"
"art","funky stuff","498014"
"art","painting drawing","498703"
"art","painting photo","498704"
"art","rat unscramble","498891"
"art","museum wall","504429"
"art","ancient modern","508456"
"art","bohemian work","508655"
"article","newspaper","51306"
"article","story","87545"
"article","chapter","96194"
"article","grammar","273815"
"article","journal","313193"
"article","a an","432712"
"article","long text","454969"
"article","newspaper piece","459604"
"article","newspaper magazine","504461"
"artificial","artichoke","280002"
"artist","person","9"
"artist","paint","33515"
"artist","make art","168801"
"artist","painter person","498702"
"asbestos","cancer","7434"
"asbestos","lung cancer","9312"
"asbestos","material","46779"
"asbestos","cancer cause","410100"
"asbestos","condemn building","503688"
"ash","fire","7329"
"ash","after fire","406863"
"ash","burn","508716"
"ask","verb","1672"
"ask","demand","35492"
"ask","axe","68699"
"ask","inquire","231106"
"ask","tell","402553"
"ask","request","425516"
"ask","question","429940"
"ask","create question","503722"
"ask","get answer","504002"
"ask","question pose","504675"
"asparagus","green","3053"
"asparagus","vegetable","5002"
"asparagus","green long","448546"
"asparagus","tall green","470237"
"asparagus","pointy green","498803"
"asparagus","spare gust","499240"
"aspect","specked","508496"
"asphalt","concrete","28705"
"asphalt","tarmac","429103"
"asphalt","black road","508628"
"aspirin","pill","597"
"aspirin","headache relief","504100"
"assault","war","5313"
"assemble","get together","38190"
"assemble","manufacture","67731"
"assemble","group","171206"
"assemble","put together","405535"
"assemble","insert tab","498262"
"assistance","help others","46199"
"association","guilt","416107"
"association","home owner","450210"
"association","formal organization","497989"
"association","assassinate","508499"
"aster","flower","26687"
"astronomy","star","7439"
"astronomy","star gaze","106358"
"astronomy","astral study","500048"
"athletics","shape","417563"
"atmosphere","earth","9107"
"atmosphere","ozone layer","498694"
"atmosphere","must","508503"
"atom","small","2924"
"atom","planet","4217"
"atom","ball","7734"
"atom","science","7773"
"atom","electron","30717"
"atom","proton","30718"
"atom","element","35497"
"atom","bomb","41501"
"atom","physic","45862"
"atom","tiny","54313"
"atom","meteor","56909"
"atom","chemistry","96951"
"atom","elements","105716"
"atom","mushroom cloud","250915"
"atom","particle","271338"
"atom","sphere","274821"
"atom","molecule","276305"
"atom","nuclear bomb","329518"
"atom","really small","405563"
"atom","electron proton","413102"
"atom","nuclear","422493"
"atom","small matter","427513"
"atom","bomb type","437749"
"atom","adam","453683"
"atom","neutron proton","459520"
"atom","molecule electron","504374"
"atom","proton neutron","504658"
"atom","cluster ball","508819"
"attack","fight","1895"
"attack","war","5313"
"attack","battle","6945"
"attack","defense","27502"
"attack","violence","32833"
"attack","hit","41793"
"attack","shark","110967"
"attack","defence","155765"
"attack","heart","180080"
"attack","defend","273551"
"attack","two tee","406090"
"attack","blast","432735"
"attack","pearl harbor","490615"
"attack","no comma","498604"
"attack","rage army","498881"
"attack","mug","503457"
"attempt","effort","1073"
"attempt","try","241349"
"attendant","guy","1660"
"attendant","flight","3377"
"attendant","applicant","478866"
"attribute","talent","58577"
"audience","person","262"
"audience","theater","22955"
"audience","applause","52012"
"audience","group person","163907"
"audience","crowd","208150"
"audience","lot person","405136"
"audience","person sit","498746"
"audience","live studio","504291"
"audit","tax","11810"
"audit","finance","73142"
"audition","theater","22955"
"audition","actor","255481"
"audition","try out","472546"
"auditorium","school","76"
"auditorium","theater","22955"
"auditorium","movie theater","28464"
"auditorium","performance","108187"
"auditorium","lecture","156190"
"auditorium","arena","182650"
"auditorium","concert hall","201139"
"auditorium","assembly hall","435445"
"auditorium","giant room","498042"
"auditorium","stadium","500509"
"auditorium","school meeting","504769"
"aunt","uncle","286470"
"aunt","mom sister","504376"
"aurora","fire","7329"
"aurora","northern light","292092"
"author","writer","3486"
"author","person","6034"
"author","book","6348"
"author","book writer","409411"
"automobile","car","3003"
"automobile","train plane","499469"
"autumn","yellow","4128"
"autumn","spring","6278"
"autumn","fall","28555"
"autumn","season","68624"
"autumn","season fall","466234"
"autumn","fire color","497926"
"autumn","fancy fall","509048"
"avalanche","snow","6152"
"avalanche","disaster","73416"
"avalanche","fall snow","413609"
"avalanche","snow fall","427616"
"avalanche","snowball","497476"
"avalanche","skier death","499115"
"avalanche","shout","504878"
"avenue","street","47473"
"avenue","road","67752"
"avenue","parkway","402974"
"avenue","fifth","413966"
"avenue","new","433048"
"avenue","anew","498168"
"average","person","1133"
"average","nothing special","6567"
"average","math","22243"
"average","mathematics","38785"
"average","statistic","100432"
"average","medium","242942"
"average","middle","276932"
"average","arithmetic mean","407689"
"average","median","420626"
"average","mean","429325"
"average","middle number","456597"
"average","middle road","456602"
"average","halfway","498132"
"average","like everyone","498376"
"average","typical common","505059"
"average","ad ridge","508416"
"aviator","pilot","199021"
"away","one","609"
"away","home","1645"
"away","here","7276"
"away","small","9459"
"away","gone","24059"
"away","go","28053"
"away","vacation","32701"
"away","today","37857"
"away","go somewhere","41577"
"away","elsewhere","64826"
"away","distance","94777"
"away","stray","143876"
"away","near","166316"
"away","leave","171162"
"away","spray","180823"
"away","proximity","300336"
"away","position","323747"
"away","afar","406831"
"away","ahoy","406950"
"away","aweigh","407982"
"away","baseball home","408306"
"away","far far","413664"
"away","keyboard","414960"
"away","far","444896"
"away","trip","498660"
"away","sway flay","499323"
"away","absent","503444"
"away","gone miss","504035"
"away","home game","504136"
"away","trip journey","505046"
"axe","tree","1511"
"axe","cut wood","42917"
"axe","chop","111615"
"axle","rod","1689"
"babe","candy bar","89169"
"babe","pig","111845"
"babe","pig movie","462630"
"babe","movie pig","498553"
"baby","human","515"
"baby","cry","1991"
"baby","person","6034"
"baby","child","6314"
"baby","cute","7491"
"baby","small","9459"
"baby","young","15594"
"baby","born","21080"
"baby","rabies","21601"
"baby","little","41860"
"baby","tiny","54313"
"baby","helpless","65367"
"baby","birth","66099"
"baby","lady","91391"
"baby","little people","99602"
"baby","mother","101233"
"baby","parent","236868"
"baby","cherub","271913"
"baby","infant","280295"
"baby","kid","280495"
"baby","toddler","286720"
"baby","small child","403074"
"baby","newborn","405268"
"baby","small boy","405723"
"baby","small person","405759"
"baby","little child","419441"
"baby","little person","419474"
"baby","new born","421762"
"baby","prune","432384"
"baby","infant child","451632"
"baby","infant human","451633"
"baby","tiny child","471197"
"baby","mother birth","504400"
"bacterium","small","9459"
"bacterium","germ","271561"
"bacterium","cause sickness","410376"
"bacterium","single cell","467254"
"bacterium","back tear","508514"
"bad","man","2620"
"bad","good","3086"
"bad","evil","3119"
"bad","and","51117"
"bag","brown","16603"
"bag","carry lunch","78339"
"bag","carry shop","109175"
"bail","prison","22206"
"balance","gymnastics","40654"
"balance","scale","52654"
"balance","equal weight","503866"
"ball","play","382"
"ball","game","782"
"ball","sport","4032"
"ball","marble","5498"
"ball","sphere","6240"
"ball","round","8170"
"ball","soccer","24187"
"ball","wheel","34958"
"ball","basket","65740"
"ball","bouncy","66732"
"ball","toy","68605"
"ball","bounce","161456"
"ball","throw","178443"
"ball","globe","185009"
"ball","circle","296565"
"ball","bat","408336"
"ball","no basket","421931"
"ball","round bouncy","425835"
"ball","round object","425855"
"ball","round toy","425874"
"ball","spherical shape","428024"
"ball","thrown object","429579"
"ball","round sphere","465439"
"ball","soccer base","468084"
"ball","circular toy","481180"
"ball","globe shape","484995"
"ball","kick","498292"
"ball","player hit","498787"
"ball","bat glove","503419"
"ball","bouncy plaything","503525"
"balloon","round","8170"
"balloon","sphere","22785"
"balloon","party","46487"
"balloon","toy","68605"
"balloon","bubble","404780"
"balloon","round float","498970"
"balloon","dirigible","503787"
"band","music","569"
"band","play music","685"
"band","concert","1074"
"band","instrument","2390"
"band","loser","4479"
"band","group","19813"
"band","rubber","20933"
"band","musician","22679"
"band","march","70442"
"band","elastic","72726"
"band","guitar","76466"
"band","orchestra","116303"
"band","label","131953"
"band","group person","163907"
"band","bind","195024"
"band","loop","232936"
"band","wrist","288066"
"band","music group","297047"
"band","roll stone","405597"
"band","type","406099"
"band","drummer guitarist","412767"
"band","rock group","425697"
"band","rocker","465230"
"band","wed ring","474518"
"band","guitarist singer","498120"
"band","drummer","501283"
"band","head circle","504098"
"band","rubber ring","504738"
"band","school parade","504771"
"bandage","cloth","2170"
"bandage","plaster","127229"
"bandit","bad guy","408105"
"bandit","arm","460971"
"bandit","gunslinger","504066"
"bang","crash","23439"
"bang","gun shoot","416137"
"bang","big theory","437117"
"bank","house","692"
"bank","money","1416"
"bank","store","2845"
"bank","vault","6273"
"bank","safe","8154"
"bank","build","11022"
"bank","savings","26567"
"bank","save money","28259"
"bank","store money","34809"
"bank","interest","34914"
"bank","account","41906"
"bank","institution","70329"
"bank","robber","90357"
"bank","money transfer","90688"
"bank","invest","126068"
"bank","robbery","140224"
"bank","check account","186558"
"bank","loan","191434"
"bank","finance","269645"
"bank","hold money","302950"
"bank","big build","404198"
"bank","savings loan","405621"
"bank","teller","416466"
"bank","deposit","421036"
"bank","money account","421037"
"bank","money build","421044"
"bank","money safekeeping","421108"
"bank","savings account","426159"
"bank","keep money","452410"
"bank","lend","453432"
"bank","money deposit","456929"
"bank","money save","456986"
"bank","vault build","473545"
"bank","large safe","487303"
"bank","money savings","488919"
"bank","piggy","490899"
"bank","treasury","495528"
"bank","morgan stanley","498536"
"bank","federal reserve","503916"
"bank","money house","504384"
"bank","money machine","504385"
"banker","money","1416"
"banner","sign","12330"
"bar","build","1198"
"bar","restaurant","1213"
"bar","fun","1555"
"bar","store","1577"
"bar","rod","1689"
"bar","drink","1920"
"bar","party","1921"
"bar","wood","3328"
"bar","club","4628"
"bar","furniture","6445"
"bar","cheer","7131"
"bar","alcoholic beverage","8556"
"bar","drink alcohol","8801"
"bar","bench","10750"
"bar","pub","15687"
"bar","lawyer","22630"
"bar","alcohol","22754"
"bar","booze","28883"
"bar","place","30381"
"bar","pipe","30638"
"bar","gymnastics","40654"
"bar","beverage","56952"
"bar","person drink","57419"
"bar","test","58722"
"bar","bra","90039"
"bar","disco","102931"
"bar","pool hall","111961"
"bar","line","116596"
"bar","pole","161178"
"bar","prop up","205366"
"bar","lounge","213625"
"bar","ballet","246663"
"bar","stool","248391"
"bar","counter","289328"
"bar","saloon","404007"
"bar","night club","405277"
"bar","alcohol place","407009"
"bar","beer garden","408573"
"bar","beer","408588"
"bar","drink establishment","412715"
"bar","drink place","412719"
"bar","drink counter","412723"
"bar","long","419638"
"bar","long tube","419642"
"bar","serve alcohol","426485"
"bar","tar mar","429098"
"bar","alcoholic establishment","434041"
"bar","fun place","447181"
"bar","car","453795"
"bar","long table","454966"
"bar","public house","477613"
"bar","nightclub pub","498600"
"bar","soap","498646"
"bar","par far","498715"
"bar","person mingle","498745"
"bar","sell beer","499038"
"bar","tavern saloon","499357"
"bar","ale beer","503326"
"bar","tavern","504959"
"bar","dive","508380"
"barb","thorn","2802"
"barb","spiky","113002"
"barb","wire","220694"
"bard","dog","1580"
"bard","shakespeare","466632"
"bard","poetry play","504610"
"bare","cupboard","149542"
"bare","naked skin","504445"
"bargain","shop","21586"
"bargain","sell","96698"
"bargain","mark down","179343"
"bargain","mart","498466"
"bark","rough","43024"
"bark","bow wow","409511"
"bark","voice","499534"
"barn","cow house","508871"
"barnacle","pier","498659"
"barnacle","white ring","499608"
"barnacle","cling","508811"
"base","home","1645"
"base","camp","34230"
"base","military","37466"
"base","square","52701"
"base","guitar","76466"
"base","ballgame","139146"
